Full  log(Wcor)   e    Icor   Mcor        e
                 10-3   mag     mag  0.01mag

  637      2.513   35  11.86  -20.81       9
  638      2.410   27  12.60  -20.34      12
  639      2.522   21  12.07  -21.26       9
  640      2.526   32  12.49  -20.95      11
  641      2.571   18  11.87  -21.23      12
  642      2.345  100  13.36  -19.73      16
  643      2.445   14  11.36  -21.75      15
  644      2.477   25  12.26  -20.80      13
  645      2.398   39  13.36  -20.42      19
  646      2.479   29  12.01  -21.05      13
  647      2.301   79  12.78  -20.16      10
  648      2.335   12  13.03  -19.58      11
  649      2.461   27  12.73  -20.33      12
  650      2.263   51  13.11  -19.39       7
  651      2.412   14  12.36  -20.69      19
  652      2.470   21  11.81  -20.70      11
  653      2.645   13  10.07  -22.36      12
  654      2.482   54  11.74  -21.33      10
  655      2.493   23  11.68  -21.38      10
  656      2.547    6  10.86  -21.59      15
  657      2.184   40  14.90  -17.63       6
  658      2.411    8  12.19  -20.38      19
  659      2.721    9  10.54  -21.89      16
  660      2.483   25  12.93  -20.59      11
  661      2.581    7  11.88  -21.09      13
  662      2.235   45  13.92  -19.03       6
  663      2.406   12  12.86  -20.11      19
  664      2.154   70  13.11  -19.18       7
  665      2.372   52  11.73  -19.82       8
  666      2.448   37  11.12  -20.81       9
  667      2.255   17  12.82  -18.97      10
  668      2.535   13  11.46  -21.03      19
  669      2.514   39  11.56  -21.00      21
  670      2.182   51  13.35  -18.48       6
  671      2.198   62  14.22  -17.61       6
  672      2.288   30  13.02  -18.82       7
  673      2.408   94  11.68  -20.16       6
  674      2.562   62  11.19  -20.64       7
  675      2.438   45  11.50  -20.33       9
  676      2.278   20  13.55  -18.29       7
  677      2.225   40  12.93  -18.91       8
  678      2.204   55  13.31  -17.54      15
  679      2.711    5   9.45  -22.37      17
  680      1.939   61  14.05  -16.68       6
  681      2.589   35  10.85  -20.99      10
  682      2.449   19  11.71  -20.13      10
  683      2.254   57  13.24  -18.60       6
  684      2.468   15  11.56  -20.28      19
  685      2.611   20  10.51  -21.99      10
  686      2.557   17  11.45  -20.26       9
  687      2.186   35  14.02  -17.85      12
  688      2.475   18  12.04  -20.72      10
  689      2.080   73  13.02  -17.90      10
  690      2.151   85  13.01  -18.70       7
  691      2.235   57  13.91  -18.68       6
  692      2.534   20  11.62  -20.96       9
